X,Y,osm_id,code,fclass,name
-70.8825325,42.0440076,289333789,6101,rail,Plymouth Branch
-70.8820853,42.0437455,289333789,6101,rail,Plymouth Branch
-70.8811532,42.0432396,289333789,6101,rail,Plymouth Branch
-70.9080227,42.062805,289333790,6101,rail,Plymouth Branch
-70.9072423,42.061939,289333790,6101,rail,Plymouth Branch
-70.9066946,42.0613596,289333790,6101,rail,Plymouth Branch
-70.9059804,42.0606758,289333790,6101,rail,Plymouth Branch
-70.9052165,42.0600145,289333790,6101,rail,Plymouth Branch
-70.9044334,42.059386,289333790,6101,rail,Plymouth Branch
-70.9034324,42.0586489,289333790,6101,rail,Plymouth Branch
-70.9024094,42.0579286,289333790,6101,rail,Plymouth Branch
-70.8999219,42.0561817,289333790,6101,rail,Plymouth Branch
-70.8972112,42.0542714,289333790,6101,rail,Plymouth Branch
-70.89544,42.0530205,289333790,6101,rail,Plymouth Branch
-70.894015,42.0520157,289333790,6101,rail,Plymouth Branch
-70.8929717,42.05128,289333790,6101,rail,Plymouth Branch
-70.9081109,42.0629135,289333791,6101,rail,Plymouth Branch
-70.9080227,42.062805,289333791,6101,rail,Plymouth Branch
-70.9095238,42.0647276,289333792,6101,rail,
-70.9091304,42.0642818,289333792,6101,rail,
-70.9088767,42.0639563,289333792,6101,rail,
-70.9085982,42.0635921,289333792,6101,rail,
-70.9080742,42.0629368,289333792,6101,rail,
-70.9079805,42.0628221,289333792,6101,rail,
-70.9075227,42.062296,289333792,6101,rail,
-70.9070897,42.0618271,289333792,6101,rail,
-70.906632,42.0613583,289333792,6101,rail,
-70.9061191,42.0608628,289333792,6101,rail,
-70.9055718,42.0603749,289333792,6101,rail,
-70.9049762,42.0598712,289333792,6101,rail,
-70.9043254,42.0593491,289333792,6101,rail,
-70.9035833,42.0588085,289333792,6101,rail,
-70.9023509,42.057939,289333792,6101,rail,
-70.9019188,42.0576335,289333792,6101,rail,
-70.9009757,42.056966,289333792,6101,rail,
